[22Dec2025 16:14:56.776] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, MrSeven3, --version, 1.21.1, --gameDir, C:/Users/grays/AppData/Roaming/PrismLauncher/instances/1.21.1/minecraft, --assetsDir, C:/Users/grays/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 3de0398172ba4ed0bbddf97e8f597daa, --accessToken, , --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.215, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[22Dec2025 16:14:56.785] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[22Dec2025 16:14:56.788] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Windows 11 arch amd64 version 10.0
[22Dec2025 16:14:58.243] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[22Dec2025 16:14:58.383] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[22Dec2025 16:14:58.824] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[22Dec2025 16:14:59.002] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.10.23.jar)
[22Dec2025 16:14:59.423] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3050/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.57, NVIDIA Corporation
[22Dec2025 16:15:01.507] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "carryon-neoforge-1.21.1-2.2.2.11.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.521] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cc-tweaked-1.21.1-forge-1.116.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.562] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chipped-neoforge-1.21.1-4.0.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.572] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.581] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-neoforge-9.0.4+1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.589] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "configurable-3.3.0+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.600] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ConnectorExtras-1.12.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.611] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Continents_1.21.x_v1.1.11.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.621] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.21.1-19.0.5.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.632] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.4+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.646] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crabbersdelight-1.21.1-1.2.3.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.661] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CraterLib-NeoForge-1.21-2.1.5.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.680] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.8.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.690] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-central-kitchen-2.2.6.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.700] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-confectionery1.21.1_v1.1.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.707] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-dragons-plus-1.8.5.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.716] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-enchantment-industry-2.2.5b.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.725] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-man-of-many-planes-1.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.735] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_cardboarded_conveynience-0.0.3b.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.747] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_connected-1.1.10-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.757] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_hypertube-0.3.0-NEOFORGE.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.769] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_ltab-3.4.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.778] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_power_loader-2.0.3-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.791] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createaddition-1.5.9.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.805] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createdeco-2.1.1-1.21.1-neo.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.818] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createfddough-1.0.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.830] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createfood-neoforge-1.21.1-2.0.0-beta-3.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.842] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createframed-1.21.1-1.7.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.851] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Cucumber-1.21.1-8.0.15.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.862] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "culturaldelights-0.17.7.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.870] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.882] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Design-n-Decor-1.21.1-2.1.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.890] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DnDesires-1.21.1-2.2c-BETA.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.901] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "do_a_barrel_roll-neoforge-3.7.3+1.21.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.912] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dtterralith-1.3.0-BETA01.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.919] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dummmmmmy-1.21-2.0.11-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.927] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DungeonsArise-1.21.1-2.1.68-release.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.937] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamic-fps-3.9.5+minecraft-1.21.0-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.947] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamictrees-neoforge-1.21.1-1.5.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.956] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamictreesplus-1.3.0-BETA03.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.965] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.22+1.21.1+neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.976] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-letsdo-compat-2.0.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.984] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_enchanting-0.1.2+1.21+neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:01.993] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_loot-0.7.8+1.21+neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.004] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emiffect-neoforge-2.1.6+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.017] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emixx-neoforge-1.2.3.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.025] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "endersdelight-neoforge-1.21.1-1.1.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.036] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ends_delight-2.5.1+neoforge.1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.046] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-neoforge-1.9.3-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.064] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "environmental-1.21.1-5.0.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.072] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "etched-5.0.0.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.083] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExplorersCompass-1.21.1-3.0.3-neoforge.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.092] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "explosiveenhancement-neoforge-1.21.1-1.1.2.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.102] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "extra-mod-integrations-all-neoforge-1.0.3+1.21.1.jar" [locator: {mods folder locator at C:\Users\grays\AppData\Roaming\PrismLauncher\instances\1.21.1\minecraft\mods}, reader: mod manifest]
[22Dec2025 16:15:02.132] [main/WARN] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Skipping jar. File mods\fabric-language-kotlin-1.13.7+kotlin.2.2.21.jar is a Fabric mod and cannot be loaded
